levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Lymphoid	
level1	negative	Myeloid	
level1	negative	Neutrophils	
level2	negative	Tcell	
level2	positive	Age.associated_B_cells	
level2	positive	B_cell	
level2	positive	Follicular_B_cells	
level2	positive	Germinal_center_B_cells	
level2	positive	Memory_B_cells	
level2	positive	Naive_B_cells	
level2	positive	Proliferative_germinal_center_B_cells	
level2	positive	Transitional_B_cells	
level2	positive	Large_pre.B_cells	
level2	positive	Pre.pro.B_cells	
level2	positive	Pro.B_cells	
level2	positive	Small_pre.B_cells	
level2	negative	Plasma_cell	
